# Total Phase Data Center(tm) v6.61
# (c) 2005-2013 Total Phase, Inc.
# www.totalphase.com
#
# Thu Jun 04 17:47:52 2015
#
# Level,Index,Dur,Len,Ep,Record,Summary
1,290,1.500 us,1 B,01,   ACK packet,D2
0,291,50.854 us,64 B,01,OUT txn,C1 C0 00 00 00 00 00 00 01 01 18 00 00 00 00 00 00 00 00 00 00 00 00 01…
1,292,2.833 us,3 B,01,   OUT packet,E1 98 30
1,293,45.583 us,67 B,01,   DATA1 packet,4B C1 C0 00 00 00 00 00 00 01 01 18 00 00 00 00 00 00 00 00 00 00 00 00…
1,294,1.479 us,1 B,01,   ACK packet,D2
0,295,549.895 us,64 B,01,IN txn   [30 POLL],C1 C0 00 00 21 00 00 00 01 01 18 00 00 00 00 00 00 00 00 00 00 00 00 04…
1,296,487.104 us,,01,   [30 IN-NAK],
1,297,2.812 us,3 B,01,   IN packet,69 98 30
1,298,45.479 us,67 B,01,   DATA1 packet,4B C1 C0 00 00 21 00 00 00 01 01 18 00 00 00 00 00 00 00 00 00 00 00 00…
1,299,1.500 us,1 B,01,   ACK packet,D2
0,300,2.833 us,,,[1 SOF],[Frame: 1287] 
0,301,50.750 us,64 B,01,OUT txn,C1 C0 00 00 00 00 00 00 01 01 18 00 00 00 00 00 00 00 00 00 00 00 00 01…
1,302,2.812 us,3 B,01,   OUT packet,E1 98 30
1,303,45.479 us,67 B,01,   DATA0 packet,C3 C1 C0 00 00 00 00 00 00 01 01 18 00 00 00 00 00 00 00 00 00 00 00 00…
1,304,1.479 us,1 B,01,   ACK packet,D2
0,305,632.312 us,64 B,01,IN txn   [36 POLL],C1 C0 00 00 21 00 00 00 01 01 18 00 00 00 00 00 00 00 00 00 00 00 00 04…
1,306,572.416 us,,01,   [36 IN-NAK],
1,307,2.833 us,3 B,01,   IN packet,69 98 30
1,308,45.500 us,67 B,01,   DATA0 packet,C3 C1 C0 00 00 21 00 00 00 01 01 18 00 00 00 00 00 00 00 00 00 00 00 00…
1,309,1.500 us,1 B,01,   ACK packet,D2
0,310,50.791 us,64 B,01,OUT txn,C1 C0 00 00 00 00 00 00 01 01 18 00 00 00 00 00 00 00 00 00 00 00 00 01…
1,311,2.833 us,3 B,01,   OUT packet,E1 98 30
1,312,45.500 us,67 B,01,   DATA1 packet,4B C1 C0 00 00 00 00 00 00 01 01 18 00 00 00 00 00 00 00 00 00 00 00 00…
1,313,1.500 us,1 B,01,   ACK packet,D2
0,314,2.833 us,,,[1 SOF],[Frame: 1288] 
0,315,642.250 us,64 B,01,IN txn   [35 POLL],C1 C0 00 00 21 00 00 00 01 01 18 00 00 00 00 00 00 00 00 00 00 00 00 04…
1,316,571.020 us,,01,   [35 IN-NAK],
1,317,2.833 us,3 B,01,   IN packet,69 98 30
1,318,45.583 us,67 B,01,   DATA1 packet,4B C1 C0 00 00 21 00 00 00 01 01 18 00 00 00 00 00 00 00 00 00 00 00 00…
1,319,1.500 us,1 B,01,   ACK packet,D2
